Jobs,CTP Procssed,Plate Received,Material Cost,Plotter Exp,No. of Die ,Die Cost,Block Cost,Positive Prep ,Positive Prep Cost,Printing Que,Printing(Outsource),Lami,Foiling,Foiling Cost,Corrugation,Corrougation Cost,Double Pasting,Total
TCB-9824-A,940,5,6064,300,2,1500,,,897,,,,,,,,,9701
TCB-9838-A,2228,4,19510,100,2,200,,,453,,,,,,,,,22491
TCB-bj10638,3342,6,,200,2,2800,,,,,,,,,,,,6342
TCB-9785-A,752,4,414000,200,2,4200,,,2707,,,,,,,,,421859
TCB-9752-R,376,2,3521,400,3,2000,550,,750,,,,,,,,,7597
TCB-9794-A,188,1,7393,100,2,1600,,,400,,,,,,,,,9681
TCB-9895-A,1316,7,3469,200,2,1500,,,,,,,,,,,,6485
TCB-9917-A,376,2,3066,100,1,900,,,,,,,,,,,,4442
TCB-7815-A,752,4,60917,100,2,3400,7815,,,,,,,,,,,72984
TCB-9844-A,376,2,17357,100,1,900,,,,,,,,,,,,18733
TCB-9895-S,376,2,5589,100,2,1500,,,,,,,,,,,,7565
TCB-9907-A,752,4,2644,100,1,800,,,,,,,,,,,,4296
TCB-9918-A,752,4,10269,100,2,1400,,,,,,,,,,,,12521
TCB-9920-A,376,2,749,100,1,600,,,400,,,,,,,,,2225
TCB-8477-P,0,0,13301,100,1,800,,,,,,,,,,,,14201
TCB-9830-S,1880,10,2124,100,2,1800,,,,,,,,,,,,5904
TCB-9901-A,376,2,5039,100,1,600,,,,,,,,,,,,6115
TCB-9932-A,2054,7,17964,300,2,2100,19931,,,,,,,,,,,42349
TCB-9837-A,3342,6,8265,100,1,1400,,,,,,,,,,,,13107
TCB-9834-A 1,1866,6,102629,100,2,2000,,,453,,,,,,,,,107048
TCB-9849-S,564,3,17164,200,2,1300,,,,,,,,,,43407,,62635
TCB-9851-A,1114,2,5579,100,1,1400,,,,,,,,,,3656,,11849
TCB-9620-R,0,0,8979,100,old,0,,,,,,,,,,,,9079
TCB-9882-A,3000,3,30083,200,5200,2,,,,,,,,,,19500,,52785
TCB-9755-A,6873,13,58624,400,2600,3,,,,,11500,,,,,,,77400
TCB-9893-A,752,4,69068,100,600,1,800,,800,,,,,,,22718,,94239
TCB-8760-A,752,4,6249,100,1,500,,,,,,,,,,,,7601
TCB-9639-A,188,1,7666,100,1,800,,,,,,,,,,,,8754
TCB-9854-A,9184,41,173976,1400,15,11300,,,,,,,,,,,,195860
TCB-9891-A,1692,9,1643,100,1,500,,,,,,,,,,,,3935
TCB-9898-A,188,1,5826,100,1,800,,,,,,,,,,,,6914
