Jobs,CTP Procssed,Plate Received,Material Cost,Plotter Exp,No. of Die ,Die Cost,Block Cost,Positive Prep ,Positive Prep Cost,Printing Que,Printing(Outsource),Lami,Foiling,Foiling Cost,Corrugation,Corrougation Cost,Double Pasting,Total
TCB-10130,1114,2,32261,200,2,2600,,,637,,,,,,,,,36812
TCB-10030-A,4000,4,28926,100,1,1800,,,,,9250,,,,,,,44076
TCB-9877-S,1128,6,1939,400,4,4600,,,,,,,,,,,,8067
TCB-10060-A,5570,10,233473,300,3,2400,,,,,,,,,,,,241743
TCB-10020-A,1114,2,29752,100,1,1200,,,,,,,,,,7560,,39726
TCB-10074-A,752,4,19438,100,1,1400,,,,,,,,,,,,21690
TCB-10082-A,188,1,5474,0,1,500,,,,,,,,,,,,6162
TCB-9964-A,1128,6,20506,200,2,2000,,,,,,,,,,,,23834
TCB-10097-A,750,4,6387,200,2,1800,,,,,,,,,,,,9137
TCB-10051-A,1114,2,1426,100,1,600,,,,,,,,,,,,3240
TCB-10110-A,752,4,6043,100,1,700,,,,,,,,,,,,7595
TCB-9592-A,1361,7,13950,200,4,2000,7011,,698,,,,,,,,,25220
TCB-10091-A,2785,5,33303,100,1,1200,,,,,,,,,,,,37388
TCB-10088-A,564,3,12727,100,2,800,,,,,,,,,,,,14191
TCB-10095-A,376,2,202500,200,1,1400,,,,,,,,,,,,204476
TCB-10096-A,557,1,2188,100,1,1800,,,,,,,,,,,,4645
TCB-10104-A,3000,3,2188,100,1,1100,,,,,,,,,,,,6388
TCB-10027-A,376,2,32359,0,1,600,,,,,,,,,,,,33335
TCB-10068-A,752,5,42251,100,1,1500,,,,,,,,,,12600,,57203
TCB-10089-A,6127,11,34552,200,2,1300,,,,,,,,,,,,42179
TCB-10105-A,564,3,9639,100,1,2100,,,,,,,,,,,,12403
TCB-10117-A,188,1,4173,100,1,1400,,,,,,,,,,,,5861
TCB-10134-A,752,4,5508,100,1,600,,,,,,,,,,,,6960
TCB-9892-A,2068,11,10385,100,1,1000,,,,,,,,,,,,13553
TCB-10040-A,940,5,63032,400,2,3200,,,400,,,,,,,,,67972
TCB-10075-A,2068,11,6416,100,1,500,,,,,,,,,,,,9084
TCB-9935-S,2820,15,2517,200,2,1200,950,,1400,,,,,1000,,,,10087
TCB-10070-S,745,2,6301,200,2,2000,,,,,,,,,,,,9246
TCB-10122-A,752,4,6259,100,1,500,,,,,,,,,,,,7611
TCB-10076-A,1114,2,15022,100,1,1200,,,,,,,,,,4037,,21473
TCB_10077-A,940,5,5731,100,1,1800,,,,,,,,,,,,8571
TCB-10087-A,2228,4,16990,100,2,1200,,,,,,,,,,,,20518
TCB-9931-A,376,2,12338,100,1,1000,,,,,,,,,,,,13814
TCB-10140-A,752,4,4024,100,1,1200,,,,,,,,,,,,6076
TCB-SE11237,1114,2,10954,300,3,1800,,,,,,,,,,,,14168
TCB-9859-R,1114,2,38000,100,1,1800,,,,,,,,,,,,41014
TCB-9808-A,6127,11,17087,200,2,2000,,,,,,,,,,3780,,29194
TCB-6858-A,1692,9,8061,0,1,400,,,,,,,,,,,,10153
TCB-10114-A,376,2,17694,100,1,800,,,,,,,,,,,,18970
TCB-10036-A,752,4,7849,100,1,800,,,,,,,,,,,,9501
TCB-10115-A,940,5,4357,100,1,1200,,,,,,,,,,,,6597
TCB-10119-A,376,2,2188,100,1,800,800,,,,,,,,,,,4264
TCB-9966-S,1316,7,5068,300,3,3000,,,,,,,,,,,,9684
TCB-9849-A,5000,5,195452,300,3,4000,,,,,72500,,,,,,,277252
TCB-10079-A,2785,5,81702,300,3,3800,,,,,,,,,,,,88587
TCB-10072-A,2228,4,31297,100,1,1200,,,,,,,,,,,,34825
TCB-10102-A,4456,8,47988,200,2,2400,,,,,,,,,,,,55044
TCB-10129-A,2256,12,14104,200,2,1400,,,,,,,,,,,,17960
TCB-10148-A,5570,10,108174,200,3,4800,5685,,,,,,,,,,,124429
TCB-10154-A,564,3,9985,200,2,1400,,,,,,,,,,,,12149
TCB-10104-R,752,4,1836,100,1,400,,,,,,,,,,,,3088
TCB-RP11375,564,3,1678,100,1,400,,,,,,,,,,,,2742
TCB-10170-A,188,1,1502,100,1,800,,,,,,,,,,,,2590
TCB-10015-A,1000,1,19560,200,2,2900,6123,,,,5650,,,,,,,35433
TCB-9984-A,940,5,66528,300,3,2100,,,,,,,,,,,,69868
TCB-10118-A,1504,8,3973,0,1,500,4709,,,,,,,,,,,10686
TCB-10128-A,9873,27,8346,0,1,1600,,,3105,,,,,,,,,22924
TCB-10185-A,188,1,3165,100,1,800,,,,,,,,,,,,4253
TCB-10159-P,188,1,1717,0,1,500,,,,,,,,,,,,2405
TCB-10188-A,1000,1,3554,100,1,600,,,,,,,,,,,,5254
TCB-10055-A,376,2,8721,100,1,500,,,,,,,,,,,,9697
TCB-9945-A,1114,2,153524,600,6,6600,,,,,,,,,,,,161838
TCB-10094-A,376,3,31921,100,1,1000,4132,,480,,,,,,,,,38009
TCB-9999-A,752,4,5043,100,1,800,,,,,,,,,,,,6695
TCB-10112-A,2228,4,52267,300,3,3600,,,,,,,,,,,,58395
TCB-Kw11287,1671,3,,100,1,1600,,,,,,,,,,,,3371
TCB-10071-A,752,4,7198,300,2,1600,,,,,,,,,,,,9850
TCB-10127-A,188,1,13884,200,2,2200,,,,,,,,,,,,16472
TCB-10149-A,188,1,12519,100,1,500,,,,,,,,,,,,13307
TCB-10165-A,5013,9,20239,100,1,1000,,,,,,,,,,,,26352
TCB-10189-A,376,2,1502,100,1,800,,,,,,,,,,,,2778
TCB-10184-A,188,1,1502,100,1,600,,,,,,,,,,,,2390
TCB_10025-A,9000,9,17276,100,1,2000,,,,,7000,,,,,,,35376
TCB-10054-A,1504,8,74000,200,2,2600,,,,,,,,,,,,78304
TCB-10044-A,2228,4,26595,100,1,1400,,,,,,,,,,,,30323
TCB-10145-A,376,2,43305,200,2,1200,6327,,,,,,,,,,,51408
TCB-10141-A,752,4,13413,100,1,1200,,,,,,,,,,,,15465
TCB-10177-A,940,5,7009,100,1,1200,,,,,,,,,,,,9249
TCB-10195-A,752,4,1678,100,1,500,,,,,,,,,,,,3030
TCB-10092-A,3342,6,20865,100,1,400,,,,,,,,,,,,24707
TCB-10138-A,752,4,48408,100,1,1400,,,,,,,,,,,,50660
TCB-10162-A,752,4,10078,100,1,1000,,,,,,,,,,,,11930
TCB-10169-A,5041,17,23390,200,1,1400,,,,,,,,,,,,30031
TCB-10191-A,188,1,6828,100,1,1000,,,,,,,,,,,,8116
TCB-10192-A,188,1,2800,100,1,400,,,,,,,,,,,,3488
TCB-10194-A,376,2,11759,200,2,2000,,,,,,,,,,,,14335
TCB-10193-A,376,2,5231,100,1,600,,,,,,,,,,,,6307
